,Level 1,question1,question2,question3
0,image1,the person wearing the black shirt,the person with the glasses,the person near the chair
1,image2,the person wearing the white shirt,standing person,the sitting person on the sofa
2,image3,the person wearing the black shirt,the person pointing to the left,the person near the shelf
3,image4,the person wearing the black shirt,standing person,the person near the desk
4,image5,the person wearing the white shirt,sitting person,the person near the chair
5,image6,the person wearing the short pants,the person with the laptop,the person near the sofa
6,image7,the person wearing the green hoodie,the person wearing the black,the person near the shelf
7,image8,the person wearing the black shirt,the person wearing the green shirt,the person near the sofa
8,image9,the person wearing the black shirt,the person raising hand,the person near the sofa
9,image10,the person wearing the green shirt,the person raising hand,the person near the chair
10,image11,the person wearing watch,the sitting person,the person near the sofa
11,image12,the person wearing green shirt,the person wearing black shirt,the person near the chair
12,image13,the person wearing green shirt,the person wearing black shirt,the person near the chair
13,image14,the person wearing green shirt,the person raising hand,the person near the chair
14,image15,the person wearing black shirt,the person raising hand,the person near the sofa
15,image16,the person wearing green shirt,the person wearing black shirt,the person near the sofa
16,image17,the person wearing green shirt,the person with the ball,the person near the sofa
17,image18,the person wearing green shirt,the person with the airplane toy,the person near the sofa
18,image19,the person wearing green shirt,the standing person,the person near the desk
19,image20,the person wearing black shirt,the person with the toys,the person near the chair
20,image21,the person wearing green shirt,the person raising hand,the person near the sofa
21,image22,the person wearing black shirt,the sitting person,the person near the sofa
22,image23,the person wearing green shirt,the thumbs up people,the person near the sofa
23,image24,the person wearing black shirt,the sitting person,the person near the sofa
24,image25,the person wearing brown shirt,the sitting person,the person near the sofa
25,image26,the person wearing brown shirt,the standing person,the person near the sofa
26,image27,the person wearing brown shirt,the person with the pringles,the person near the chair
27,image28,the person wearing brown shirt,the person with the pringles,the person near the chair
28,image29,the person wearing brown shirt,the sitting person,the person near the sofa
29,image30,the person wearing brown shirt,the sitting person,the person near the sofa
30,image31,the person wearing brown shirt,the person wearing black shirt,the person near the sofa
31,image32,the person wearing black shirt,the person with the water,the person near the sofa
32,image33,the person wearing brown shirt,the standing person,the person near the sofa
33,image34,the person wearing black shirt,the person raising hand,the person near the chair
34,image35,the person wearing green shirt,the person with the pringles,the person near the sofa
35,image36,the person wearing green shirt,the person with the watch,the person near the chair
36,image37,the person wearing black shirt,the sitting person,the person near the sofa
37,image38,the person wearing black shirt,the sitting person,the person near the sofa
38,image39,the person wearing black shirt,the sitting person,the person near the sofa
39,image40,the person wearing green shirt,the sitting person,the person near the sofa
40,image41,the person wearing green shirt,the sitting person,the person near the sofa
41,image42,the person wearing green shirt,the sitting person,the person near the sofa
42,image43,the person wearing white shirt,the sitting person,the person near the sofa
43,image44,the person wearing white shirt,the person raising hand,the person near the sofa
44,image45,the person wearing blue shirt,the person with the phone,the person near the sofa
45,image46,the person wearing white shirt,the sitting person,the person near the sofa
46,image47,,,
47,image48,,,
48,image49,,,
49,image50,,,
